bodega,nombre_google,place_id,rating,total_resenas,muestra_descargada
Bodegas González Byass – Tío Pepe,Bodega Tio Pepe,ChIJP9QbH5HGDQ0R7d77RhLqFOQ,4.2,1689.0,1689
Bodegas Fundador,Bodegas Fundador,ChIJCcYij5nGDQ0RWRrdcbmOLJo,4.6,1646.0,1646
Bodegas Osborne,Bodegas Osborne,ChIJrTsx7snPDQ0Riq-On40pwHY,4.5,1191.0,1191
Bodegas Hidalgo – La Gitana,Bodegas Hidalgo - La Gitana,ChIJkVFKMi_eDQ0RbUWCbWFfuJ8,4.8,781.0,781
Bodegas Lustau,Bodegas Lustau,ChIJySuRU-vGDQ0Rvc9ojugSZEY,4.5,713.0,713
Bodegas Barbadillo,Bodegas Barbadillo,ChIJH8otECXeDQ0ROq84RPYJ4pE,4.5,676.0,676
Bodegas Real Tesoro & Valdespino,Grupo Estévez,ChIJz90R-tTGDQ0RvN5KgpNdgEo,4.6,623.0,623
Bodegas Tradición,Bodegas Tradicion,ChIJf5IT4pjGDQ0RzZpzp1cvGZo,4.7,374.0,374
Bodegas Manuel Aragón,Bodega Manuel Aragón S.L.,ChIJm-w-fcQ0DA0RXkm9a9lHDfM,4.7,313.0,313
Bodegas Delgado Zuleta,Bodega Delgado Zuleta,ChIJ55oJszbeDQ0RmbL9u_o0DfE,4.7,310.0,310
Bodegas Gutiérrez Colosía,Bodegas Gutiérrez Colosía,ChIJcc10sNzPDQ0R7MlO8Xl-hvU,4.6,272.0,272
Bodegas Williams & Humbert Sau,Bodegas Williams & Humbert,ChIJcRQcjynEDQ0RW6-gb79KtNc,4.5,240.0,240
Bodegas Álvaro Domecq,"BODEGAS ÁLVARO DOMECQ, S.L.",ChIJM8Tgie3GDQ0RRQjPIsgn91o,4.8,226.0,226
Bodegas Luis Pérez,Bodegas Luis Pérez,ChIJr8P2iAvEDQ0RmMQvusuYxZ0,4.7,225.0,225
Bodegas Herederos De Argüeso,Bodegas Argüeso,ChIJ_1JHjSbeDQ0RqPcFKOJt6F4,4.5,172.0,172
Bodegas Cayetano Del Pino,Bodegas Cayetano del Pino. Vinos de Jerez. D.O. Jerez - Xérès - Sherry,ChIJvxLzNJDGDQ0RJEvmuKpFSfw,4.7,169.0,169
Bodegas Barón,Bodegas Baron S.A.,ChIJz5AwEDDeDQ0R79vP5jtD7K0,4.9,162.0,162
Bodegas Páez Morilla,Bodegas Páez Morilla,ChIJz_IKR_fGDQ0RsRflC-BrFBM,4.6,109.0,109
Bodegas Díez Mérito,"Bodegas Díez Mérito, Bodega El Cuadro (Despacho De Vinos)",ChIJNfLm15LGDQ0R8dik4C0_uRY,4.7,100.0,100
Covisan – Cooperativa Vitivinícola Sanluqueña,Cooperativa del campo vitivinícola sanluqueña COVISAN,ChIJldte9T7eDQ0RXhR5cFndor8,4.6,98.0,98
Cooperativa De Viticultores Chiclaneros,Bodega Cooperativa de Vinos de Chiclana. Unión de viticultores chiclaneros.,ChIJM09swJ40DA0REt4gUBhG2GQ,4.3,93.0,93
Bodegas Miguel Domecq – Entrechuelos,Bodega Miguel Domecq,ChIJEXC-l_2wDQ0ROFc7U0MIBSU,4.7,84.0,84
Viña La Torre,Viña La Torre | Bodega Vinos Cádiz Jerez,ChIJ9Y8SYVvFDQ0RmrziqgLYMGk,4.9,74.0,74
Bodegas Cortijo De Jara,Cortijo de Jara Shop Jerez center,ChIJA5892ezGDQ0Rw22ry350ez8,4.8,66.0,66
"Bodega, Viña Y Casa Rural Santa Petronila",Casa Viña Santa Petronila,ChIJJe5ZUqTDDQ0Ri1n7x7fuPhM,4.4,59.0,59
Bodegas Forlong,Bodega de Forlong,ChIJv-aZKOHPDQ0RZBCiQ9DSIZI,4.9,59.0,59
Bodegas Yuste,BODEGAS YUSTE,ChIJE4VG-DLeDQ0RRzHNoVmHD18,4.6,59.0,59
Bodegas Dios Baco,Bodegas Dios Baco,ChIJN4s-p8zGDQ0REL7fy-7B25c,4.4,53.0,53
Bodegas Caydsa,Bodega Caydsa,ChIJBzO9TqrfDQ0Rz-YWUzPKW1U,4.5,50.0,50
Bodegas Rey Fernando De Castilla,Bodegas Fernando de Castilla,ChIJZ5JEyqLGDQ0RpB7uXFQ3Piw,4.6,50.0,50
Cooperativa Agrícola Virgen De Palomares,Cooperativa Virgen de Palomares,ChIJ6xhJRUjpDQ0Rp8pg2rBlncg,4.6,50.0,50
Bodegas Emilio Hidalgo,Emilio Hidalgo,ChIJwfOOBaq_DQ0RenMnV-vTg0I,4.7,49.0,49
Bodega Mar 7,Despacho de Vinos Mar 7,ChIJF4fSjCbeDQ0RkwxO4AMECIY,4.9,33.0,33
Bodegas Halcón,Bodegas Halcón (antiguas Bodegas Marqués de San Gil),ChIJxw2Sv9ntDQ0RoFdjT4jcl90,4.8,29.0,29
Bodegas Altanza,Galería del Jerez - Bodegas Altanza,ChIJheymWBPHDQ0Raqn3DEyjvBc,4.7,29.0,29
Bodega Gago & Co. Barrels – Wines,Gago & Co. Barrels- Wines,ChIJWeCX9QrHDQ0RdOxgUQyppHY,4.9,24.0,24
Bodega Cooperativa Albarizas,Bodega Cooperativa Albarizas,ChIJuzDhKnDpDQ0Rn5wY5IqRKLg,4.9,9.0,9
Finca La Pintora,Finca La Pintora,ChIJkexvGQDZDQ0RhDTwkui99B8,5.0,6.0,6
Bodegas Espinosa De Los Monteros,Bodegas Espinosa de los Monteros,ChIJJwi7V8DHDQ0RXOSrlUHplNg,5.0,4.0,4
Viña El Carmen,Viña El Carmen,ChIJmUEaySzDDQ0RDUBCW4L_qtM,5.0,2.0,2
Viñedos Bodega El Piraña,Viñedos - bodega El Piraña,ChIJ62jVhLzpDQ0RNn5ZAGVurMw,,,1
