posicion,anio,AUT_PORTUARIA,pasajeros_crucero,escalas
1,2025,BARCELONA,3995848,894
2,2025,BALEARES,2576034,791
3,2025,LAS PALMAS,2088462,916
4,2025,SANTA CRUZ DE TENERIFE,1642959,845
5,2025,VALENCIA,801096,299
6,2025,BAHÍA DE CÁDIZ,624540,360
7,2025,MÁLAGA,570481,345
8,2025,A CORUÑA,465199,184
9,2025,VIGO,302820,123
10,2025,CARTAGENA,257632,185
11,2025,ALICANTE,252485,103
12,2025,BILBAO,181016,95
13,2025,TARRAGONA,129330,63
14,2025,GIJÓN,70501,32
15,2025,MOTRIL,40636,42
16,2025,SANTANDER,29862,26
17,2025,SEVILLA,18610,82
18,2025,ALMERÍA,18112,28
19,2025,FERROL-SAN CIBRAO,16629,20
20,2025,CEUTA,9527,13
21,2025,MELILLA,7028,14
22,2025,CASTELLÓN,2712,8
23,2025,HUELVA,2678,15
24,2025,PASAIA,1245,3
25,2025,VILAGARCÍA,1012,5
26,2025,AVILÉS,221,1
27,2025,MARÍN Y RÍA DE PONTEVEDRA,0,0
28,2025,BAHÍA DE ALGECIRAS,0,0
